Frequency (Hz)	Level (dB)
70.800781	-23.320185
71.044922	-23.545748
71.289063	-33.081375
71.533203	-34.142448
71.777344	-32.644302
72.021484	-32.169525
72.265625	-31.506174
72.509766	-30.780485
72.753906	-26.381006
72.998047	-24.090239
73.242188	-28.676697
73.486328	-29.001062
73.730469	-29.952698
73.974609	-29.223347
74.218750	-30.147621
74.462891	-29.877525
74.707031	-26.792027
74.951172	-21.812057
75.195313	-26.009983
75.439453	-31.366674
75.683594	-32.308533
75.927734	-33.763706
76.171875	-34.486507
76.416016	-35.323334
76.660156	-32.760571
76.904297	-24.257021
77.148438	-25.737535
77.392578	-39.075764
77.636719	-43.364334
77.880859	-44.049778
78.125000	-45.838921
78.369141	-43.580063
78.613281	-39.260498
78.857422	-25.665943
79.101563	-23.796881
79.345703	-33.546669
79.589844	-40.398773
79.833984	-41.405754
80.078125	-42.315659
80.322266	-42.106754
80.566406	-40.987347
80.810547	-30.285482
81.054688	-25.144674
81.298828	-31.122934
81.542969	-43.281242
81.787109	-44.561657
82.031250	-47.345558
82.275391	-46.561127
82.519531	-44.459461
82.763672	-34.047852
83.007813	-24.841324
83.251953	-27.454693
83.496094	-41.459690
83.740234	-44.046452
83.984375	-44.600403
84.228516	-44.710678
84.472656	-42.789711
84.716797	-39.209824
84.960938	-27.757780
85.205078	-27.039639
85.449219	-37.208286
85.693359	-42.505459
85.937500	-45.054192
86.181641	-45.598740
86.425781	-43.815166
86.669922	-44.906380
86.914063	-30.111946
87.158203	-25.937283
87.402344	-33.260227
87.646484	-43.161041
87.890625	-46.836761
88.134766	-47.039692
88.378906	-47.733471
88.623047	-43.607231
88.867188	-33.950901
89.111328	-26.724968
89.355469	-30.304787
89.599609	-42.041359
89.843750	-45.320274
90.087891	-44.688541
90.332031	-41.044693
90.576172	-41.789265
90.820313	-38.094551
91.064453	-26.868832
91.308594	-27.254539
91.552734	-37.621136
91.796875	-39.960018
92.041016	-41.251999
92.285156	-41.249805
92.529297	-41.250801
92.773438	-40.942009
93.017578	-28.433771
93.261719	-25.402767
93.505859	-32.327606
93.750000	-37.860344
93.994141	-40.094231
94.238281	-41.002201
94.482422	-40.975452
94.726563	-37.702988
94.970703	-30.688148
95.214844	-25.025047
95.458984	-28.878841
95.703125	-35.672001
95.947266	-35.626308
96.191406	-32.649666
96.435547	-31.914490
96.679688	-30.958454
96.923828	-31.901815
97.167969	-26.323872
97.412109	-27.739311
97.656250	-34.321362
97.900391	-34.296799
98.144531	-34.000954
98.388672	-34.808212
98.632813	-37.838428
98.876953	-39.075409
99.121094	-28.508615
99.365234	-26.595285
99.609375	-33.514893
99.853516	-39.451038
100.097656	-40.824478
100.341797	-42.758377
100.585938	-43.294319
100.830078	-40.778351
101.074219	-30.407715
101.318359	-25.302593
101.562500	-31.556080
101.806641	-42.694695
102.050781	-43.608120
102.294922	-42.399635
102.539063	-39.672302
102.783203	-39.428478
103.027344	-34.047382
103.271484	-27.288496
103.515625	-29.435656
103.759766	-38.139572
104.003906	-44.152634
104.248047	-43.835590
104.492188	-41.173771
104.736328	-39.179688
104.980469	-37.328922
105.224609	-25.259890
105.468750	-24.625137
105.712891	-34.758675
105.957031	-39.104286
106.201172	-38.266254
106.445313	-36.002110
106.689453	-36.650997
106.933594	-33.167942
107.177734	-28.044271
107.421875	-26.635359
107.666016	-27.320221
107.910156	-32.245136
108.154297	-32.869495
108.398438	-32.656914
108.642578	-34.446747
108.886719	-33.527290
109.130859	-29.824348
109.375000	-23.499485
109.619141	-27.302738
109.863281	-38.306480
110.107422	-36.155537
110.351563	-32.211895
110.595703	-34.223183
110.839844	-37.685928
111.083984	-33.799759
111.328125	-29.564627
111.572266	-30.327513
111.816406	-34.965630
112.060547	-37.406384
112.304688	-37.732677
112.548828	-37.392025
112.792969	-37.747940
113.037109	-36.183777
113.281250	-28.530508
113.525391	-25.742590
113.769531	-32.892200
114.013672	-34.507240
114.257813	-36.442966
114.501953	-33.316357
114.746094	-36.639072
114.990234	-34.041302
115.234375	-33.261665
115.478516	-28.967813
115.722656	-33.401600
115.966797	-34.767830
116.210938	-37.444233
116.455078	-34.906570
116.699219	-37.755829
116.943359	-37.476845
117.187500	-37.193336
117.431641	-29.821730
117.675781	-31.476444
117.919922	-39.129398
118.164063	-40.248413
118.408203	-43.823448
118.652344	-44.673275
118.896484	-45.886154
119.140625	-41.661819
119.384766	-32.146488
119.628906	-30.760754
119.873047	-40.379417
120.117188	-45.332825
120.361328	-49.208168
120.605469	-50.519478
120.849609	-47.930950
121.093750	-46.025475
121.337891	-33.715885
121.582031	-28.656292
121.826172	-34.840652
122.070313	-45.323795
122.314453	-46.854347
122.558594	-48.822983
122.802734	-48.516026
123.046875	-48.459549
123.291016	-40.361862
123.535156	-31.689297
123.779297	-34.262611
124.023438	-44.934860
124.267578	-44.534824
124.511719	-44.044632
124.755859	-46.323925
125.000000	-45.838570
125.244141	-43.384830
125.488281	-31.734287
125.732422	-31.122707
125.976563	-39.785118
126.220703	-42.114704
126.464844	-47.744446
126.708984	-48.242249
126.953125	-48.254795
127.197266	-44.646111
127.441406	-36.277466
127.685547	-33.253281
127.929688	-40.640892
128.173828	-47.974007
128.417969	-48.443378
128.662109	-45.921036
128.906250	-46.683136
129.150391	-45.477730
129.394531	-36.646950
129.638672	-29.906115
129.882813	-33.971333
130.126953	-44.340385
130.371094	-43.566761
130.615234	-43.621971
130.859375	-44.244610
131.103516	-44.641232
131.347656	-42.502422
131.591797	-34.078114
131.835938	-34.743576
132.080078	-43.740513
132.324219	-42.261086
132.568359	-43.417233
132.812500	-46.621834
133.056641	-47.957092
133.300781	-45.051720
133.544922	-34.029091
133.789063	-31.390556
134.033203	-38.140671
134.277344	-43.838306
134.521484	-47.960468
134.765625	-51.058960
135.009766	-47.272762
135.253906	-44.707783
135.498047	-39.993046
135.742188	-35.169651
135.986328	-38.340279
136.230469	-45.185936
136.474609	-43.068573
136.718750	-40.443356
136.962891	-41.179775
137.207031	-40.334927
137.451172	-39.649532
137.695313	-33.609604
137.939453	-35.149551
138.183594	-39.191711
138.427734	-39.464115
138.671875	-40.021080
138.916016	-39.587078
139.160156	-41.957615
139.404297	-40.279510
139.648438	-34.157303
139.892578	-33.457397
140.136719	-40.442257
140.380859	-40.763050
140.625000	-44.377560
140.869141	-48.840649
141.113281	-44.546570
141.357422	-39.018543
141.601563	-33.078606
141.845703	-30.199581
142.089844	-35.249710
142.333984	-42.990719
142.578125	-41.152367
142.822266	-37.825405
143.066406	-35.352730
143.310547	-34.607174
143.554688	-37.170788
143.798828	-37.672554
144.042969	-38.274197
144.287109	-37.140209
144.531250	-33.911480
144.775391	-32.307156
145.019531	-32.094902
145.263672	-33.610531
145.507813	-36.574257
145.751953	-32.307728
145.996094	-30.527582
146.240234	-32.397957
146.484375	-33.371796
146.728516	-33.966549
146.972656	-38.309509
147.216797	-42.264053
147.460938	-40.339016
147.705078	-39.414570
147.949219	-35.816586
148.193359	-33.206635
148.437500	-37.507481
148.681641	-42.196884
148.925781	-43.625122
149.169922	-40.918221
