Frequency (Hz)	Level (dB)
70.800781	-33.720566
71.044922	-33.914005
71.289063	-32.479233
71.533203	-32.207317
71.777344	-32.821156
72.021484	-33.330318
72.265625	-33.479527
72.509766	-33.754868
72.753906	-34.309559
72.998047	-34.325706
73.242188	-33.737041
73.486328	-35.397293
73.730469	-36.637165
73.974609	-35.757080
74.218750	-34.873940
74.462891	-35.154797
74.707031	-36.288746
74.951172	-36.908428
75.195313	-37.216682
75.439453	-36.100609
75.683594	-33.850624
75.927734	-31.493803
76.171875	-30.161703
76.416016	-30.140659
76.660156	-30.798950
76.904297	-31.953756
77.148438	-32.912201
77.392578	-34.336304
77.636719	-36.277676
77.880859	-38.003536
78.125000	-37.668011
78.369141	-35.689861
78.613281	-34.719032
78.857422	-35.215157
79.101563	-36.799965
79.345703	-38.508842
79.589844	-38.414173
79.833984	-38.196056
80.078125	-37.847019
80.322266	-38.589569
80.566406	-39.633446
80.810547	-40.534786
81.054688	-40.986294
81.298828	-40.872681
81.542969	-41.020157
81.787109	-41.267288
82.031250	-41.256371
82.275391	-40.210205
82.519531	-39.506359
82.763672	-39.663574
83.007813	-39.678795
83.251953	-39.123348
83.496094	-38.354168
83.740234	-39.357380
83.984375	-40.112885
84.228516	-39.030811
84.472656	-38.500332
84.716797	-38.769028
84.960938	-38.092358
85.205078	-35.777348
85.449219	-34.257137
85.693359	-34.826366
85.937500	-36.158978
86.181641	-37.095451
86.425781	-36.065010
86.669922	-34.308403
86.914063	-31.900068
87.158203	-29.252695
87.402344	-27.838696
87.646484	-28.102942
87.890625	-29.960897
88.134766	-31.838465
88.378906	-32.585449
88.623047	-33.683891
88.867188	-33.981701
89.111328	-33.970886
89.355469	-34.502888
89.599609	-35.097755
89.843750	-35.104637
90.087891	-35.038715
90.332031	-35.603508
90.576172	-37.100731
90.820313	-38.411137
91.064453	-38.299408
91.308594	-38.617580
91.552734	-40.862591
91.796875	-42.385651
92.041016	-42.052254
92.285156	-41.733528
92.529297	-42.199497
92.773438	-42.636967
93.017578	-42.512352
93.261719	-42.796856
93.505859	-43.260323
93.750000	-42.919094
93.994141	-42.221863
94.238281	-41.900478
94.482422	-41.770283
94.726563	-41.033741
94.970703	-40.469784
95.214844	-40.480602
95.458984	-40.738499
95.703125	-40.635895
95.947266	-40.376633
96.191406	-40.771091
96.435547	-41.589279
96.679688	-41.276440
96.923828	-40.230972
97.167969	-39.812630
97.412109	-40.159470
97.656250	-40.773697
97.900391	-41.325367
98.144531	-42.074764
98.388672	-42.783787
98.632813	-43.207760
98.876953	-41.939583
99.121094	-40.998344
99.365234	-41.532318
99.609375	-41.016758
99.853516	-40.367596
100.097656	-40.625027
100.341797	-42.030376
100.585938	-43.423145
100.830078	-42.561443
101.074219	-41.983803
101.318359	-42.255558
101.562500	-41.639297
101.806641	-40.765938
102.050781	-40.905563
102.294922	-42.124657
102.539063	-43.006477
102.783203	-40.773029
103.027344	-38.314114
103.271484	-36.298904
103.515625	-34.770203
103.759766	-34.463779
